Unnamed: 0,content,Quality,Service,Shipping,Packing
733,sản phẩm giao 3 đèn vỡ nát 1đèn. shops cho đổi lại,0,1,,
734,Mua về chưa kịp ngồi đã đau một bên mông nên chưa đánh giá được :c,1,,,
735,"mình đặt 1 trắng 1 đen nhưng tiki giao cho mình lại là 2 trắng. tiki lại không có phần đổi trả. mong tiki giải quyết giúp mình, mình cần đổi đúng màu mình chọn",,1,,
736,"Mình mua lần 3 cuốn, khi mở hộp ra thì như hình, hư hết bìa sách. Đây là lần thứ 3 mua sách ở tiki, vẫn ko có bọc nilon chống sốc, các góc sách bị dập hết, đóng gói tệ. Thấy ko vui trong lòng nên đánh giá 2 sao cho cả 3 cuốn. Nội dung sách thì chưa đọc nên chưa biết.",0,0,,0
737,"Nếu ai không biết gì về kết nối hay lỗi máy thì k nên mua, mình k biết kết nối laptop với màn hình mà gọi tiki hỗ trợ cũng k thấy bên kỹ thuật liên hệ, thà mua máy bên ngoài còn có nhân viên họ cskh. Lần đầu mua cũng như lần cuối, giao hàng lâu mà còn chăm sóc KH tệ. Mình phải gọi tổng đài Gear và Phong Vũ để nhờ sự trợ giúp mà họ còn chăm sóc nhiệt tình dù k mua hàng bên họ. Chấm 1 sao vì mình còn chưa sử dụng được máy và bên chăm sóc Kh quá tệ. Mình đợi hết giờ hành chính cũng không thấy ai liên hệ hướng dẫn.",,0,,
738,Xe này giao ko đúng trong hình cho đổi lại đi nhà cung cấp,,1,,
739,"đã hỏi về vấn đề xuất hóa đơn để thêm thông tin, giờ lại nói giao thành công rồi không xuất được nữa",,0,,
740,Shop ơi m cầm 40k hốc tới đời sau luôn đi nha sp như đặc cầu còn chất lượng thì bản thân m tự biết thế thôi,0,,,
741,"Sp nguyên seal của nhà cung cấp. Xài ổn, nhưng các loại dongle wifi của TP-Link hay bị lỗi không nhận wifi 5Ghz của router ở một số kênh (chanel), mình bị lỗi này và phải chỉnh lại router mới sử dùng được băng tầng kép.",1,,,
742,không có tem bạc cũng như tem ở phần mở hộp. Chỉ có băng dính dán xung quanh hộp,,,,0
743,"Mình mua 2sp đã thanh toán, 1 tuần sau giao 1 sp, 10 ngày sau thì huỷ đơn ko giao sp còn lại. Gọi tổng đài thì ko ai trả lời. Không phản hồi cách xử lý hoàn tiền cho khách hàng, không bao giờ mua hàng trên tiki nữa",,0,,
744,"bật thì cũng đc, mà vỏ thì hơi lỏng lẻo",1,,,
745,"Giao hàng nhanh nhưng thông tin ghi sản phẩm được bảo hành 36 tháng, tem bh của nova lại ghi 6 tháng? Tiki trả lời giúp mình.",,1,1,
746,"Thương hiệu thì ko đúng, ko đáng tiền, ko thèm tính",0,,,
747,"Vòi dỏm, xài 3 ngày ko chịu dc áp lực nước nên cao su bên trong bung và hư luôn",0,,,
748,số lượng rệp không đúng thiếu đến gần 30 con!,,0,,
749,No good...............!không tốt,0,,,
750,Sách nội dung thú vị mà sao sách mua tụi mà rụng rơi như sách giả vậy tức ah,1,,,
751,gió đông lạnh vẫn là dùng bình thường thấy hàng mua thử dùng nhé,0,,,
752,"Rất buồn khi bên đóng gói không bao bọc gì sách _x000D_
Tuy sách ko sao nhưng lại không được bao bọc kỹ càng😑",,,,0
753,dây nhỏ 5/10 thôi ạ điều kkhieern lag,0,,,
754,"thiếu sản phẩm, thiếu 1 miếng lót bên dưới hộp",,0,,
755,"Dùng được 7 tháng 10 ngày hôm nay thì chính thức báo hỏng. Cắm điện vào lúc đc lúc không. Đoạn nối dây với củ chuyển đổ phát ra ta lửa điện.
Dùng tạm còn được chứ lâu dài thì thôi vậy.",0,,,
756,Mép bìa sách với trang bị rời ra ko như các sách đã đặt trước đây. Cảm giác như ko biết là có phải sách thật hay ko,0,,,
757,Để nghiêng thì tràn và đổ. Với mức giá này thì sản phẩm quá tệ,0,,,
758,"Cùng model, cùng công suất, nhìn y chang nhau, cắm sạc máy báo không sạc được, mở nguồn máy vẫn lên nhưng cảnh báo nguồn và máy chạy siêu chậm.",0,,,
759,"Không sử dụng được,đề nghị đổi lại sp khác(khe pci không đúng)",0,,,
760,"Mình quyết định mua sách sau khi đọc review của các bạn mua trước.Kì vọng là một cuốn sách hay, nhưng đọc xong thấy hơi thất vọng. Sách theo lối kể, lan man, viết theo kiểu vòng lặp. Là tập hợp của vài mẩu chuyện hơn là 1 cuốn sách hoàn chỉnh.",0,,,
761,Ko tốt chất liệu ko lọc dc,0,,,
762,hàng  vận  chuyển  quá  lâu,,,0,
763,Cảm ứng không nhạy lắm ….,0,,,
764,Giấy màu đen và thô giáp đụng tí nước là bị nhũn ra. Không giống các sản phẩm đã mua lần trước. Đúng là hàng rẻ là hàng kém chất lượng.,0,,,
765,"Lúc gói hàng thêm vào miếng chống xóc đi Tiki, mở hàng thấy quyển truyện trơ trọi không có miếng bảo vệ nào thót tim lắm í, lần sau tui đặt mà tiki có miếng chống xóc thì tui vote lại 5 sao, còn giờ thì 3 sao thôi",,,,0
766,"Về nội dung
Review cho bạn nào sắp mua, nội dung có tận 20 “điều quan trọng nhất” nhé :))
Toàn bộ sách là triết lý về đầu tư của tác giả, Chứ k có bao hàm phần thực hiện, thành ra sách mang tính học thuật chứ k phải thực chiến.

Hình thức thì ok, sách bìa cứng cáp, giấy xốp, nhẹ nhưng để lâu dễ ố và bay màu mực. 
Giá hơi chát :))",1,,,
767,"Tôi khá bất ngờ khi nhận sản phẩm, bởi vì kích thước nhà quảng cáo không nói rõ ràng, hình ảnh chụp lớn nhưng sản phẩm nhận thì nhỏ! Sản phẩm này được miễn phí vận chuyển nhưng lại được tính trong giá sản phẩm! Hai điểm tôi thấy không hài lòng về nhà quảng cáo",,0,,
768,máy mới sài được 1 tháng mà giờ in không ra mực,0,,,
769,Sản phẩm tốt dùng ổn dễ lắp ghép mà giao hàng sơ sài quá . Hàng dễ bóp méo mà bọc mỗi màng bọc. Hok chấp nhận được,1,,,0
770,"Trước tôi có dùng sản phẩm này của 1 bên khác bán./ Sản phẩm đợt này,  Lúc nhận hàng về tôi thấy màu hơi vỏ hơi nhạt. Chất liệu giấy cảm giác như giấy tái chế, không có độ dai./ Mua 60 bịch,  giờ tôi chỉ dùng nó để thấm dầu mỡ trước khi rửa chén.",0,,,
771,"mình không thích cách giao hàng lần này của Tiki,Đóng gói hộp đựng sách rách cả một lỗ to,nhìn thấu hết được bên trong đựng những quyển sách,nhìn không đẹp mắt mất hay",,,1,0
772,"Pin mới khui đã hết sạch, sạc cung sài 1 lần là hết. Đồ fake , không đáng tin cậy.",0,,,
773,shop giao thiếu cho mình 1 khăn mặt:(((,,0,,
774,giao hàng nhanh bút khá là nhẹ,1,,1,
775,"Bắt wifi chậm, ko biết do thiết bị hay cho nhà mạng.",0,,,
776,"Miếng dán yếu lắm, ko để được 3 chai xà bông!",0,,,
777,không ưng ý với mặt hàng này cho lắm !!!,0,,,
778,"quay để gửi video cho các bạn trải nghiệm sau coi mà ko thấy được up video
ô này dày dặn chắc chắn nhưng nếu sử dụng với mục đích đi ô tô dùng để lúc vào xe ô sẽ ngược lên trên thì ko tiện chút nào
Mình hất mỏi tay mấy lần mãi ô mới ngược lên trên được, hơn nữa khi đóng ô vào chỉ có thể thu vào chứ phải đẩy mỏi tay cho rút ngắn lại, như mình nói sp chắc chắn nên lúc này chiều dài sẽ vướng trong xe
Mưa mà sử dụng và xử lý em ô này thì ướt hết",0,,,
779,"Thiếu 1 nhựa chữ T, coi như bỏ cái tủ",0,,,
780,"Bắt hơi yếu, wifi phát sát 2m mà chậm vl",0,,,
781,Gối chất liệu ok. Gối này thì mình sử dụng kê ghế ngồi khi làm việc phù hợp hơn,0,,,
782,sản phẩm bị gãy ko đẹp như hình,0,,,
783,"mới dùng vài ngày,chưa biết ra sao.",1,,,
784,Sách không được bọc nên bị bụi bẩn,0,,,0
785,chập chờn. lâu lâu mất kết nối phải rút ra cắm lại,0,,,
786,"Mền này bị ra lông rất là dữ luôn nha mọi người. Không biết sao mà đọc comment toàn khen, không ai nhắc tới vấn đề này. Hình dưới là cái ra giường của mình bị dính lông từ cái mền này.",0,,,
787,"Đóng gói ko có lót chống sốc sách, lúc mình nhận hộp còn lắc lắc được cơ. Mọi lần tiki đóng gói vận chuyển rất ổn nhưng lần này mình khá thất vọng, bị móp 1 góc hộp",,,,0
788,"Để ram mới nhưng bán lại giao ram nhìn như ram cũ, ram này dạng ram tháo máy như mấy tiệm bán đồ cũ, lừa người dùng, biết vậy thà đi mua cây ram cũ shoppe có 1390000 cũng bảo hành 3 năm",0,0,,
789,"Giao hàng lâu , hỏi shop thì k trra lời",,0,0,
790,khhnkgvbjhgvnjjggkkfcbjhfgjh không xài được..,0,,,
791,"pin bị móp méo, ko còn pin",0,,,
792,"Trải nghiệm thất vọng khi mua hàng tại Tiki lần này, mua 3 cuốn Hiệu ứng chim mồi thì cả 3 cuốn đều trầy gáy, mặc dù bọc trong hộp caton, nhìn sách rất xót, nếu rẻ hơn chỗ khác mà bán sách k còn nguyên vẹn thì khuyên mọi người nên xem xét",0,,,
793,"lần này tiki gói cũng kĩ đấy, nhưng vẫn móp, và ghét nhất cái con mụ usagi nhé, thà đừng có bố thí cái box vào còn hơn, chứ nhận xog. rước bực vào người, trừ art bìa thì box xấu đau xấu đớn từ design cho đến chibi, xin ả U đừng có nhận thêm bq bộ nào nữa ^^, làm ăn k hẳn hoi thì đừng có làm, khổ thân fan truyện thôi",0,0,,
794,"Tôi cần xác định vấn đề xem có phải là màn hình bị rò rỉ điện hay không? Tôi đang sử dụng Macbook Air và xuất hình ảnh ra màn hình ngoài, nhưng sau khi cắm điện tôi chạm vào laptop của mình thì bị điện giật trong khi laptop của tôi không cắm sạc! Tôi mong được hỗ trợ!",0,1,,
795,"Sách của Howard Marks thì rất tuyệt vời. Rất đáng để dành nhiều thời gian đọc và suy ngẫm. Tuy nhiên, chất lượng dịch nên xem lại, trau chuốt nhiều hơn trước khi xuất bản tránh làm mất đi giá trị của bản gốc. Sách rất đáng đọc nhưng nếu được chọn lại sẽ không mua bản dịch này.",1,,,
796,"Giao hàng nhanh. Không nói về nội dung sách vì chưa đọc, chắc không có gì phải suy nghĩ nhưng là cuốn đắt nhất trong bộ ba cuốn của Anthony William nhưng khi nhận hàng sách quăn hết góc, trầy xước thật buồn. Lỗi do Tiki khi đóng hàng hộp sách lỏng lẻo vận chuyển sẽ xô lệch và đập. Đã góp yếu Tiki nhiều lần.",0,,,
797,"Với tầm này tiền thì có thể chấp nhận được, nhưng các bạn có thể làm tốt hơn bằng cách đóng gói tốt hơn để tránh những sưt mẻ ở các góc như hình, gói bọc bỉ ẩm, bàn bị dính bụi nhiều. Nói chung không hài lòng cho lắm",0,,,
798,Xạc mua và tính thời gian dùng chưa được 3 tháng đã bị hỏng rồi các bạn ạ :(,0,,,
799,"Sau khi dùng được một thời gian thì cây lau nhà khó khăn trong việc vắt. Hình ảnh là hiện trạng cây lau nhà không thể thu ngắn lại vì thế không thể vắt và lau nhà được nữa.
Thùng lau nhà lúc vắt phát ra tiếng ríttttt rất to.",0,,,
800,"Sản phẩm vẫn bình thường, những điều không bình thường là đến nay tôi vẫn chưa nhận được Hoá đơn GTGT, có trục trặc gì vậy?",0,,,
801,Shop để ốc vít quá to vặn vô ko đc,0,,,
802,"Sách giao không hoàn chỉnh, nhìn cũ kĩ, không còn mới, bìa rách",0,,,
803,"Lúc đầu xem qua thấy chất lượng sách ổn nhưng khi mới đọc đến chương 6 thì thấy 1 số lỗi đánh chữ, đặc biệt có 3 lỗi sai",0,,,
804,"Đơn lưu kho hơi lâu do dịch nên hộp bị thủng, sách bên trong hơi bụi nhưng không sao. Bọc bookcare bị hở cạnh, khá buồn luôn. Sách in ấn đẹp, giấy hơi mỏng hơn so với tưởng tượng nhưng nhìn chung đáng tiền",0,,,
805,có thể do mạng mình yếu... nên ko hiệu quả,0,,,
806,"- Đồ bình thường.
- Dong gói không chắc chắn. 
- Chuôi để vặn bóng vẹo sang bên
- Bóng đèn không sáng, phải mua thêm bóng Rạng Đông. 
- Các khung không được chắc chắn. 
- Nói chung mua 140k cũng không đòi hỏi nhiều. Lúc đầu nhìn trong ảnh có vẻ được nhưng thực tế cũng xoàng đúng với giá tiền.",0,,,0
807,"Tiki nên coi lại thái độ nhân viên của mình, là shipper thì cũng là bộ mặt đại diện của công ty mà nói chuyện thách thức khách hàng là có muốn mua hàng hay không? Đứng đợi khách hàng chưa đến 5 phút mà tỏ vẻ cực kì thô lỗ. Ngoài ra, còn để khách tự bưng hàng( cái bàn nặng) vô nhà trong khi bản thân bỏ đi không nói tiếng nào. Kể cả bàn có tốt đi chăng nữa thì thà không mua còn hơn. 100k tiền ship mà thái độ tệ chưa bao giờ tệ hơn. Bạn nào muốn mua thì nên suy nghĩ lại nhé.",,0,0,
808,"Đây là lần thứ 2 mình mua. _x000D_
- Lần trước mình cũng mua loại này, dây CAT6, dài 15 mét, bấm sẵn. Mọi thứ ok hết, port mạng nhà mình max có 100 Mbps, nhận đủ, không test được có đúng tốc độ lý thuyết của CAT6. _x000D_
- Lần này mua lại giống vậy nhưng dây chỉ lên được 10 Mbps. Mình rất ngạc nhiên, tưởng thiết bị hoặc cổng mạng có vấn đề, nhưng check mọi thứ khác ok. Vậy rõ là do dây._x000D_
- Mình chat với shop, shop vô tư trả lời hàng nhận được sao giao vậy, không biết. Mình bảo thôi hàng không đáng bao nhiêu, để mình đặt mua lại cái khác. Shop cũng trả lời phiền bạn mua lại dùm. Shop không có ý gì hỗ trợ hay xin lỗi luôn, dù mình mua hàng, hàng hỏng hoàn toàn không dùng được (nhận mạng 10 Mbps ~ 1,25 MB/s, sao dùng được?)._x000D_
- Mình mua hàng Tiki rất nhiều và rất hiếm cho đánh giá thấp đến mức 3 sao như vầy. Hi vọng shop xem lại cách kinh doanh, dễ tính như mình mà còn khó chịu thì shop còn mất khách dài dài._x000D_
- Dây không đáng nhiêu tiền, không bù thời gian mình chờ đợi, rồi công sức đi dây trên trần nhà các thứ. Mình cũng chủ quan không test trước, mà không ngờ một món đơn giản thế cũng bị lỗi.",0,0,,
809,"hình thấy đẹp, khi nhận thấy bình thường, không sắc sảo, tạm",0,,,
810,"Đeo lâu sẽ bị đau ở chỗ tai, do dây đeo hơi cứng._x000D_
_x000D_
Tuy nhiên, sản phẩm chất lượng so với giá bán.",0,,,
811,dây mỏng manh . k giông như mình ra mua trực tiếp ngoài tiệm,0,,,
812,"Mới dùng chưa lâu đã bị gẫy, khi kéo vắt rất cứng",0,,,
813,"Sách giao đến nơi đã bị bẩn, chỉ được bọc 1 lớp màng bọc thực phẩm rẻ tiền. Cảm giác không được tôn trọng",1,,,
814,"Đèn mới ship đến, nhưng thanh đèn bị mốp 2 điểm!",0,,,
815,Không tháo ra được và cũng chưa bắt được con muỗi nào,0,,,
816,"Mình đánh giá về việc bọc sách / Không phải về nội dung:
Mình mua một bộ sách của Nhã Nam trên Tiki, mua sách bản quyền mà lại đóng gói hời hợt. Sách lậu người ta còn bọc bằng màng xốp hơi bóng khí. Vậy mà tiki giao hàng để bị rách hộp, móp méo. Sách thì bị bóp mép, rách bìa ngoài. Tiki và Nhã Nam nên xem lại cách gói hàng.",1,,,0
817,"Cũng một thời gian rồi mới đặt sách bên tiki mà nhận được sách như này quả thật cực kì thất vọng ạ 🥲 khâu đóng gói của tiki dạo này rất ẩu, không có bong bóng chống sốc tí nào mà chỉ có mỗi sách không cho vào hộp. Thế này không cấn cũng lạ. Nhìn sách mà sầu lắm ạ, đây còn là quyển mình mong chờ nhất nữa ^^ thực sự rất buồn và thất vọng.",0,,,0
818,"Sách nêu được bản chất của Curency và cách nó vận hành, tiy nhiên thông tin ko có nhiều điểm mới!",0,,,
819,sách ko đc đóng gói cẩn thận,,,,0
820,"Trên trang bán hàng là made in Viet Nam, thực tế là TQ",,0,,
821,"Có hơi trầy với xước 1 xíu nhưng bù lại giao nhanh nên không sao_x000D_
Nội dung khá cuốn và sách khá cùi:))) có những cuốn mình mua được vài năm rồi nhưng nó không dễ xúc như vậy:)))) ban đầu không để ý đến lúc mở cuốn Muối ra thấy xúc nên mới để ý",0,,,
822,"sách về khá nhanh, sau 24h đặt đã có hàng.  mình chỉ hơi thất vọng về gáy sách bị tróc một xíu,mấy trang đầu hơi không phẳng chút nhưng tổng quan thì ok.  đến ngọc còn có vết mà :v để 3 sao cho shop biết mà nâng cao chất lượng dịch vụ nhé",1,1,1,0
823,"sp bị bong tróc ở mép, không có sách hướng dẫn lắp nói chung rất tệ, không bao giờ mua lại",0,,,
824,"In bị mờ & có vệt đen
Tháo ra lắp vô lau dọn cũng ko khả quan",0,,,
825,Ko giao hàng mà báo thành công,,0,0,
826,Mình vừa nhận sp ngày 11/12. Cắm vào máy laptop DELL inspiron 14 thông số 19.5V - 3.34A thì không được. kêu rẹt rẹt rồi đèn ở adapter tắt ngấm. Chính sách đổi trả như thế nào ?,0,1,,
827,"mình nhận được hàng từ cửa hàng này, bị lỗi. Gọi lên tiki thì đc support nói là chờ. sau đó ko thấy tiki hay cửa hàng phản hồi lại mặc dù đã hơn 3 ngày trôi qua. 

thái độ phục vụ rất tệ.

mình có kèm ảnh chứng minh hàng bị lỗi. Máy bị chết điểm ảnh.",0,0,,
828,Mình mua 3 cái hộp mà ko thể đóng được nắp như thế này phải làm sao. Mình chưa biết cách khiếu nại hay hoàn trả,0,1,,
829,"Máy in đẹp, hiện tại đang dùng bình thường. Cho máy in HP LaserJet Pro MFP 135w 5 sao về chất lượng._x000D_
_x000D_
Shop chuyển hàng đúng hẹn như thông tin trên website của Tiki, nhưng Shop IT CHÍNH HÃNG (HCM) hứa hẹn lần lữa mãi không chịu xuất Hóa đơn cho khách, xứng đáng 2 sao về phục vụ 😒😒",1,0,,
830,"Giao hàng rất lâu_x000D_
Sản phẩm bị móp góc_x000D_
Box thì cong nhẹ",0,,0,0
831,Tốc độ copy 1 file 22GB qua cổng usb 3.0 quá chậm. Chưa được 20MB/s,0,,,
832,Hộp usb bị mở ra từ trước.,0,,,
833,Tôi mua vợt muỗi hiệu DP-834 sao lại giao tôi loại này KLZ-918,,0,,
834,"Chất lượng dùng được. độ bền còn chờ thời gian. 
sản phẩm đóng gói gọn nhẹ
So với quảng cáo là đầu Fast đúc. nhưng sản phẩm là bấm thủ công",1,,,1
835,"Không biết vì lý do gì mà hàng về quá chậm, ko có thông báo vì sao tới chậm từ Tiki cũng như cửa hàng. Sp đẹp.",1,,,
836,"Không giống mô tả, giống hàng chợ ko phải hàng chính hãng. Hình ảnh chỉ mang tính chất nhận xu",0,,,
837,sao toàn tiếng a ko vậy . ko cài đc tiếng việt là sao,0,,,
838,bỏ sim ko vào không xài được,0,,,
839,"Trời mưa mà gói ẩu rồi đó nhe🙈💔 mọi khi cũng gói ẩu mà pháp sư Tiki cẩn thận nên không sao, nhưng nay mưa nên truyện ẩm + gập trang truyện nên cho 2sì-ta thuoi nhê💀💔",,, ,0
840,Đặt màu hồng nhưng khi nhận được lại là màu khác ???,,0,,
841,"hi shope
tôi mới mua 2 đầu nối chia mạng 
mà không sử dụng được là sao?
vui lòng hướng dẩn sử dụng giúp
.
.
tôi có 1 dây internet
mà tôi muốn chia nó ra làm 2 để sử dụng cho 2 thiết bị
mà mua về để chia ra mà ko sử dụng được
mong hươngd dẩn dùm
tôi mới nhận hàng ngày hôm qua
tks",0,1,,
842,dịch vụ đổi trả quá khắt khe tốt nhất không nên mua,,0,,
843,giao hàng lâu ................,,,0,
844,đặt vân gỗ lại giao màu trắng,                                                              ,0,,
845,"Xài được 1 năm thì xuất hiện nguyen đường dead pĩel chạy ngang màn hình, gọi bảo hành đến thh hồi xong tịt luôn không thấy đả động gì tới.",0,0,,
846,"Chưa nói đến nội dung. Không hiểu sao cách trình bày của cuốn sách này rất khó chịu, cỡ chữ và fonts chữ thay đổi liên tục. Hình ảnh minh hoạ lại quá nhiều và màu mè gây cảm giác đọc chữ khó chịu, như kiểu bị làm phiền vậy. Chất lượng giấy cũng k được đánh giá cao lắm.",0,,,
847,Mới ba tháng sụp nguồn hỏng pin.,0,,,
848,"nhìn ảnh to, nhưng thực tế bé tí, chỉ phù hợp để vặn loại ốc nhỏ trong điện thoại, máy tính,...",0,,,
849,"Sách đưa ra giả thuyết về nguyên nhân gây ra các bệnh xơ hoá và ung thư, cũng là một giả thuyết hay, mình có thể cân nhắc tìm hiểu. Nhưng hầu tất cả các vấn đề tác giả đều bảo là do thiếu chất dinh dưỡng và hướng giải quyết là bổ sung chất dinh dưỡng, có vẻ như đang thần thánh hoá chất dinh dưỡng nhưng tác giả chưa giải thích cụ thể được chất dinh sẽ giải quyết vấn đề như thế nào, và bổ sung chất dinh dưỡng qua kênh nào ( thức ăn, thực phẩm chức năng hay truyền chất dinh dưỡng...).",1,,,
850,"(*) Đánh giá không tính điểm
Mình vẫn chưa nhận được hàng.",,0,0,
851,"1. Theo quảng cáo, hộp mực này sử dụng được cho máy in HP MFP 135a. Tuy nhiên, khi lắp đặt, hộp mực có chiều dài hơn so với hộp mực gốc khoảng 5mm nên không thể lắp vừa.
2. Đồng thời, phần seal kèm theo cũng không dài khoảng 30cm như hộp mực gốc mà chỉ là 2 đầu mảnh seal gắn vào ở 2 đầu hộp mực.",0,,,
852,Quà tặng nhận được lại là chiếc đèn lồng bị rách,0,,,
853,"Dây cáp cắm không có tác dụng gì! Ko kết nối được ổ cứng, ổ DVD với máy tính",0,,,
854,"sách không được bọc, khi đặt hàng có treo logo tikinow nhưng bị chuyển thành tikifast, delay giao hàng 2 lần không rõ lý do. nhận hàng sau 10 ngày đặt",,0,0,0
855,Chưa xài được…quá khổ kết nối,0,,,
856,Bị lỗi gì đây ạ! AC hỗ trợ với!,0,1,,
857,Sách sale nên giao cho mình sách bị dơ. Không có seal,0,,,
858,mền đắp bị hầm nóng và có cảm giác không ôm sát vào người,0,,,
859,"Gắn SIM vào  sóng không lên, không gọi được. Thử với 2 SIM khác nhauSIM đang hoạt động trên smart phone,  nhưng sang điện thoại này không hoạt động. Xin đổi lại hoặc trả hàng lại",0,1,,
860,"Mấy bạn nào dùng tạm thì cứ dùng, chất lượng không tệ nhưng mà tốt nhất hãy mua coolermaster nha",1,,,
861,Mua mau xanh cho be trai ma giao mau hong. Doi lai dum nhe,0,1,,
862,"Tình hình dịch bệnh nên mình phải ở lại công trình, chọn màn này vì nó tiện lợi và Mình chọn tikinow vì chỗ mình ở rất muỗi, rõ ràng ghi giao đơn hàng vào trưa ngày 6/7 nhưng phải đến đầu giờ tối ngày 7/7 mình mới nhận được. Hàng thì dùng tốt, tiện lợi. MÌnh vote 4 sao cho hàng nhưng 1 sao cho giao hàng.",1,,0,
863,"sách bị mất trang như này thì đọc gì nữa. bên CSKH nhận phản hồi yêu câug của khách rắc rối , không chuyên nghiệp gì car. muốn đổi mà k biết bấm vào đâu :)",0,0,,
864,"Mực bị lỗi chip, máy in báo hộp mực bị lỗi không sử dụng được. Đề nghị Shop liên hệ đổi hàng hoặc hoàn tiền chip.",0,1,,
865,Thấy nhiều người mua nên mình mua đọc. Mà xem nội dung sơ sài thấy thất vọng không như mong đợi.,0,,,
866,USB cắm vào máy thì rất nóng và chỉ nhận có 2.41MB (16GB) dù format rồi. Mình cũng không hiểu sao luôn. Mong tiki hỗ trợ đổi cho mình sản phẩm sớm. Mình cần mua xài gấp nên mua tikinow mà nhận sản phẩm k sử dụng được ạ :),0,,,
867,"giao hàng trước dự kiến, sách nguyên seal k bị hỏng gì, nhưng mình k hài lòng cách đóng gói tiki, không bọc lót gì, trời mưa, rồi vận chuyển dễ méo hộp.",1,,1,0
868,tiki đợt này giao sách chán quá,,0,,
869,"Mình đánh giá 1 sao vì chất lượng dịch kém, sách về tài chính nhưng nhiều chỗ dịch rất lủng củng, sai với tinh thần gốc của tác giả. Nhiều từ ngữ chuyên môn cơ bản cũng bị dịch sai, vd ""Security Analysis"" lại dịch là ""phân tích bảo mật""?? Sai sót này cực kỳ nghiêm trọng._x000D_
_x000D_
Trình bày tốt, chỉnh chu như các sách của 1980 books. Nhưng lĩnh vực đặc thù như tài chính mà diễn dịch sai thì rất nguy hiểm._x000D_
_x000D_
Về nội dung nói chung, nhiều kiến thức bổ ích và giá trị cho việc quản lý tài chính và đầu tư, ứng dụng khắc kỷ rất nhiều. Sách vẫn đáng mua, nhưng các bạn nên tìm đọc bản gốc của sách (The Psychology of Money), để bổ sung thêm, đề phòng sai lệch của bản tiếng Việt.",0,,,
870,Đóng gói không chỉnh chu  không bọc chống sốc bảo vệ sản phẩm dẫn đến bị cấn móp gây mất thẩm mỹ.,,,,0
871,Đặt pin maxell giao pin ABC,,0,,
872,"Đèm lỏng lẻo, rất mau hết pin, nút chỉnh cũng ko nhạy, đề nghị đc trả hoàn hoặc hoàn tiền",0,1,,
873,"Có lẽ sản phẩm lỗi, tốc độ mạng rất chậm, cùng mạng wifi, tôi dùng điện thoại không sao nhưng với sản phẩm này thì xem youtube giật, download 1 file 100 MB mà nửa tiếng chưa xong.",0,,,
874,"The book is basically collected short stories on some selected gods (roman, celtic, japanese) _x000D_
_x000D_
Some parts are interesting, some are unnecessary and unrelatable to the vietnamese audience, in my opinion._x000D_
_x000D_
Writing style is gen z friendly, maybe too gen z oriented. _x000D_
_x000D_
_x000D_
I think  the god story lines could be separaed into continents/areas, and published in different books rather than composed into one single book, and historical viewpoints can be incorporated to help the audience understand why the stories came into place._x000D_
_x000D_
Anyway, more rigorous editing and reviewing should be done or maybe it was my expectation that is problematic.",1,,,
875,Tôi muốn đổi trả sp này đc k,,1,,
876,"Giao hàng nhanh ,nhưng chất lượng bìa sách lần này mình ko đánh giá cao ,trông rất cũ ,rất hi vọng vào quyển sách này nhưng lại thất vọng r",0,,1,
877,"Cần 4 con ốc để gắn ổ cứng vào caddy bay thì chỉ gửi 2 con, biết làm kiểu gì với cái bay thiếu nửa ốc này đây?",0,,,
878,san pham dep goi can than,1,,,1
879,Shop k gói sách kĩ càng. Mua lần nào sách về cũng bong tróc rồi móp góc. Chán thật,,,,0
880,"Hàng thấy chất lượng ko tốt, hoa văn rất quê, lớp lót ở dưới rất mỏng, vải trên thưa, không có cần điều chỉnh rất khó khi điều chỉnh và gập lại, không hài lòng với sản phẩm này",0,,,
881,Pin kém quá sạc đúng 1 lần hết pin.,0,,,
882,Đặt sản phẩm này thì giao sp khác., ,0,,
883,các mặt viền gỗ ko đc bọc hết các lỗ vít 1 mặt tròn 1 mặt lỗi vỡ,0,,,
884,"quyển sách nội dung ko có gì đặc sắc mà bán giá cắt cổ tận 500k_x000D_
quanh cuốn cũng chỉ nói về 1 cái mô hình rồi chém đi chém lại, lợi dụng hình ảnh bán max quá._x000D_
có lẻ bên happy live thuê người review à. chứ quyển này thua xa eliot, giàu từ ck... mà giá siêu đắt",0,,,
885,"Thời gian giao hàng dự kiến thứ 3, tuy nhiên đến thứ 6 mới nhận đc hàng. Chậm 3 ngày. Lâu quá trời",,,0,
886,"Tôi thật sự rất không hài lòng về cung cách phục vụ của công ty. Tôi có đặt đơn hàng #958644129 ngày đặt hàng: 22:14 27/08/2022 . Nhân viên có giao hàng vào 12h30 ngày 30/08/2022, tôi đang ở cơ quan nên nhờ người nhà nhận giúp. Tình trạng kiện hàng như ảnh kèm theo, và nhân viên giao hàng nói là chuột cắn, người nhà tôi cũng lớn tuổi thương tình nhận hộ. Nhưng tôi hỏi các anh vài câu, có con chuột nào cắn mà góc sách lại vạt đi 1 cách bằng phẳng như thế không? Các anh đang liên kết với 1 đối tác vận chuyển và đối tác đó đang làm mất đi hình ảnh, uy tín của các anh, đó có phải là phương châm kinh doanh của các anh “ Lừa dối khách hàng” ? Và giờ các anh giải quyết đơn hàng của tôi như thế nào?",0,0,0,
